Miasto	Powiat	Wojewodztwo	Powierzchnia	Ludnosc	Zaludnienie
Ełk	ełcki	warmińsko-mazurskie	21,05	60103	2855
Frampol	biłgorajski	lubelskie	4,67	1457	312
Frombork	braniewski	warmińsko-mazurskie	7,59	2437	321
Garwolin	garwoliński	mazowieckie	22,08	17174	778
Gąbin	płocki	mazowieckie	27,95	4183	150
Gdańsk	Gdańsk[a]	pomorskie	261,96	461489	1762
Gdynia	Gdynia[a]	pomorskie	135,14	247820	1834
Giżycko	giżycki	warmińsko-mazurskie	13,72	29932	2182
Glinojeck	ciechanowski	mazowieckie	7,37	3113	422
Gliwice	Gliwice[a]	śląskie	133,88	184415	1377
Głogów	głogowski	dolnośląskie	35,11	68836	1961
GłogówMałopolski	rzeszowski	podkarpackie	13,71	6190	451
Głogówek	prudnicki	opolskie	22,06	5702	258
Głowno	zgierski	łódzkie	19,84	14759	744
Głubczyce	głubczycki	opolskie	12,54	12911	1030
Głuchołazy	nyski	opolskie	6,83	14092	2063
Głuszyca	wałbrzyski	dolnośląskie	16,21	6583	406
Gniew	tczewski	pomorskie	6,04	6898	1142
Gniewkowo	inowrocławski	kujawsko-pomorskie	9,18	7278	793
Gniezno	gnieźnieński	wielkopolskie	40,60	69686	1716
Gogolin	krapkowicki	opolskie	20,35	6529	321
Golczewo	kamieński	zachodniopomorskie	7,42	2725	367
Goleniów	goleniowski	zachodniopomorskie	11,78	22747	1931
Golina	koniński	wielkopolskie	3,52	4498	1278
Golub-Dobrzyń	golubsko-dobrzyński	kujawsko-pomorskie	7,50	12879	1717
Gołańcz	wągrowiecki	wielkopolskie	12,64	3397	269
Gołdap	gołdapski	warmińsko-mazurskie	17,20	13748	799
Goniądz	moniecki	podlaskie	4,28	1892	442
Gorlice	gorlicki	małopolskie	23,53	28255	1201
GorzówŚląski	oleski	opolskie	18,54	2508	135
GorzówWielkopolski	GorzówWielkopolski[a]	lubuskie	85,72	124145	1448
Gostynin	gostyniński	mazowieckie	32,40	18947	585
Gostyń	gostyński	wielkopolskie	11,09	20237	1825
Gościno	kołobrzeski	zachodniopomorskie	5,70	2424	425
Gozdnica	żagański	lubuskie	23,88	3228	135
Góra	górowski	dolnośląskie	13,65	12316	902
GóraKalwaria	piaseczyński	mazowieckie	13,67	11658	853
GórowoIławeckie	bartoszycki	warmińsko-mazurskie	3,32	4198	1264
Górzno	brodnicki	kujawsko-pomorskie	3,43	1430	417
GrabównadProsną	ostrzeszowski	wielkopolskie	2,58	1969	763
Grajewo	grajewski	podlaskie	18,94	22243	1174
Grodków	brzeski	opolskie	9,88	8816	892
GrodziskMazowiecki	grodziski	mazowieckie	13,19	30180	2288
GrodziskWielkopolski	grodziski	wielkopolskie	18,21	14392	790
Grójec	grójecki	mazowieckie	8,57	16534	1929
Grudziądz	Grudziądz[a]	kujawsko-pomorskie	57,76	97176	1682
Grybów	nowosądecki	małopolskie	16,95	6063	358
Gryfice	gryficki	zachodniopomorskie	12,40	16853	1359
Gryfino	gryfiński	zachodniopomorskie	9,58	21565	2251
GryfówŚląski	lwówecki	dolnośląskie	6,63	6863	1035
Gubin	krośnieński	lubuskie	20,68	16874	816
Hajnówka	hajnowski	podlaskie	21,29	21422	1006
Halinów	miński	mazowieckie	2,84	3675	1294
Hel	pucki	pomorskie	21,72	3594	165
Hrubieszów	hrubieszowski	lubelskie	33,03	18450	559
Iława	iławski	warmińsko-mazurskie	21,88	33344	1524
Iłowa	żagański	lubuskie	9,18	3996	435
Iłża	radomski	mazowieckie	15,83	4991	315
Imielin	bieruńsko-lędziński	śląskie	27,99	8723	312
Inowrocław	inowrocławski	kujawsko-pomorskie	30,42	74564	2451
Ińsko	stargardzki	zachodniopomorskie	7,48	2031	272
Iwonicz-Zdrój	krośnieński	podkarpackie	5,89	1839	312
IzbicaKujawska	włocławski	kujawsko-pomorskie	2,24	2730	1219
JabłonowoPomorskie	brodnicki	kujawsko-pomorskie	3,35	3848	1149
Janikowo	inowrocławski	kujawsko-pomorskie	9,51	9034	950
JanowiecWielkopolski	żniński	kujawsko-pomorskie	3,04	4023	1323
JanówLubelski	janowski	lubelskie	14,80	12110	818
Jaraczewo	jarociński	wielkopolskie	-	1392	-
Jarocin	jarociński	wielkopolskie	15,13	26394	1744
Jarosław	jarosławski	podkarpackie	34,61	38796	1121
Jasień	żarski	lubuskie	4,79	4449	929
Jasło	jasielski	podkarpackie	36,52	36260	993
Jastarnia	pucki	pomorskie	7,80	3866	496
Jastrowie	złotowski	wielkopolskie	72,30	8703	120
Jastrzębie-Zdrój	Jastrzębie-Zdrój[a]	śląskie	85,33	90794	1064
Jawor	jaworski	dolnośląskie	18,80	23767	1264
Jaworzno	Jaworzno[a]	śląskie	152,59	93331	612
JaworzynaŚląska	świdnicki	dolnośląskie	4,34	5191	1196
Jedlicze	krośnieński	podkarpackie	10,60	5775	545
Jedlina-Zdrój	wałbrzyski	dolnośląskie	17,45	4975	285
Jedwabne	łomżyński	podlaskie	4,54	1673	369
Jelcz-Laskowice	oławski	dolnośląskie	17,06	15910	933
JeleniaGóra	JeleniaGóra[a]	dolnośląskie	109,22	81408	745
Jeziorany	olsztyński	warmińsko-mazurskie	3,41	3319	973
Jędrzejów	jędrzejowski	świętokrzyskie	11,37	15698	1381
Jordanów	suski	małopolskie	21,03	5305	252
Józefów	biłgorajski	lubelskie	5,00	2506	501
Józefów	otwocki	mazowieckie	23,91	20137	842
Jutrosin	rawicki	wielkopolskie	1,62	1928	1190
Kalety	tarnogórski	śląskie	76,29	8626	113
Kalisz	Kalisz[a]	wielkopolskie	69,42	103373	1489
KaliszPomorski	drawski	zachodniopomorskie	11,96	4356	364
KalwariaZebrzydowska	wadowicki	małopolskie	5,50	4603	837
Kałuszyn	miński	mazowieckie	12,30	2938	239
KamiennaGóra	kamiennogórski	dolnośląskie	18,04	19889	1102
KamieńKrajeński	sępoleński	kujawsko-pomorskie	3,65	2398	657
KamieńPomorski	kamieński	zachodniopomorskie	10,74	9020	840
Kamieńsk	radomszczański	łódzkie	11,99	2875	240
Kańczuga	przeworski	podkarpackie	7,60	3237	426
Karczew	otwocki	mazowieckie	28,12	10082	359
